,scanindex,rettime,mz,intensity,organism,isotope,condition,isotopomer,exp_id
3,496,3.703,432.242,314,RLUS1353,12,ACE-1,M0,EXAMPLE_1
4,496,3.703,432.2914,138,RLUS1353,12,ACE-1,M0,EXAMPLE_6
18,496,3.703,451.3055,188,RLUS1353,12,ACE-1,M1,EXAMPLE_3
31,497,3.71,432.2372,1017,RLUS1353,12,ACE-1,M0,EXAMPLE_1
37,497,3.71,448.2846,193,RLUS1353,12,ACE-1,M0,EXAMPLE_10
39,497,3.71,450.3042,370,RLUS1353,12,ACE-1,M0,EXAMPLE_3
46,497,3.71,466.2926,567,RLUS1353,12,ACE-1,M0,EXAMPLE_11
47,497,3.71,468.3087,128,RLUS1353,12,ACE-1,M0,EXAMPLE_4
50,498,3.717,432.239,4617,RLUS1353,12,ACE-1,M0,EXAMPLE_1
51,498,3.717,433.2412,1542,RLUS1353,12,ACE-1,M1,EXAMPLE_1
52,498,3.717,434.249,326,RLUS1353,12,ACE-1,M2,EXAMPLE_1
61,498,3.717,448.2853,232,RLUS1353,12,ACE-1,M0,EXAMPLE_10
62,498,3.717,450.3046,559,RLUS1353,12,ACE-1,M0,EXAMPLE_3
63,498,3.717,451.3027,228,RLUS1353,12,ACE-1,M1,EXAMPLE_3
71,498,3.717,466.297,328,RLUS1353,12,ACE-1,M0,EXAMPLE_11
72,498,3.717,467.2967,105,RLUS1353,12,ACE-1,M1,EXAMPLE_11
73,498,3.717,468.3052,359,RLUS1353,12,ACE-1,M2,EXAMPLE_11
78,499,3.724,432.2382,11553,RLUS1353,12,ACE-1,M0,EXAMPLE_1
79,499,3.724,433.2412,3424,RLUS1353,12,ACE-1,M1,EXAMPLE_1
80,499,3.724,433.2949,107,RLUS1353,12,ACE-1,M1,EXAMPLE_6
82,499,3.724,434.2436,532,RLUS1353,12,ACE-1,M2,EXAMPLE_1
89,499,3.724,450.3013,1349,RLUS1353,12,ACE-1,M0,EXAMPLE_3
90,499,3.724,451.3034,493,RLUS1353,12,ACE-1,M1,EXAMPLE_3
98,499,3.724,466.2944,521,RLUS1353,12,ACE-1,M0,EXAMPLE_11
100,499,3.724,468.3,418,RLUS1353,12,ACE-1,M2,EXAMPLE_11
104,500,3.731,432.2386,19582,RLUS1353,12,ACE-1,M0,EXAMPLE_1
107,500,3.731,433.2416,6121,RLUS1353,12,ACE-1,M1,EXAMPLE_1
108,500,3.731,434.246,514,RLUS1353,12,ACE-1,M2,EXAMPLE_1
120,500,3.731,450.3,3830,RLUS1353,12,ACE-1,M0,EXAMPLE_3
121,500,3.731,451.3058,1303,RLUS1353,12,ACE-1,M1,EXAMPLE_3
122,500,3.731,452.306,246,RLUS1353,12,ACE-1,M2,EXAMPLE_3
130,500,3.731,466.2976,286,RLUS1353,12,ACE-1,M0,EXAMPLE_11
133,500,3.731,468.3056,1135,RLUS1353,12,ACE-1,M2,EXAMPLE_11
141,501,3.738,432.2389,21678,RLUS1353,12,ACE-1,M0,EXAMPLE_1
143,501,3.738,433.2414,5997,RLUS1353,12,ACE-1,M1,EXAMPLE_1
144,501,3.738,433.2967,443,RLUS1353,12,ACE-1,M1,EXAMPLE_6
145,501,3.738,434.2408,986,RLUS1353,12,ACE-1,M1,EXAMPLE_2
146,501,3.738,434.3005,172,RLUS1353,12,ACE-1,M2,EXAMPLE_6
149,501,3.738,436.248,177,RLUS1353,12,ACE-1,M4,EXAMPLE_1
158,501,3.738,448.2802,242,RLUS1353,12,ACE-1,M0,EXAMPLE_10
159,501,3.738,450.3012,15472,RLUS1353,12,ACE-1,M0,EXAMPLE_3
