,scanindex,rettime,mz,intensity,organism,isotope,condition,isotopomer,exp_id
2,496,3.703,432.2908,262,RLUS1353,12,GLU-1,M0,EXAMPLE_6
11,496,3.703,448.2822,577,RLUS1353,12,GLU-1,M0,EXAMPLE_10
12,496,3.703,449.2866,243,RLUS1353,12,GLU-1,M1,EXAMPLE_10
14,496,3.703,450.2997,1663,RLUS1353,12,GLU-1,M0,EXAMPLE_3
20,496,3.703,466.2988,1301,RLUS1353,12,GLU-1,M0,EXAMPLE_11
21,496,3.703,467.2948,192,RLUS1353,12,GLU-1,M1,EXAMPLE_11
22,496,3.703,468.3114,506,RLUS1353,12,GLU-1,M0,EXAMPLE_4
25,497,3.71,432.238,850,RLUS1353,12,GLU-1,M0,EXAMPLE_1
26,497,3.71,432.2856,251,RLUS1353,12,GLU-1,M0,EXAMPLE_6
35,497,3.71,448.2812,1240,RLUS1353,12,GLU-1,M0,EXAMPLE_10
37,497,3.71,450.2989,2080,RLUS1353,12,GLU-1,M0,EXAMPLE_3
38,497,3.71,451.3084,547,RLUS1353,12,GLU-1,M1,EXAMPLE_3
39,497,3.71,452.3078,182,RLUS1353,12,GLU-1,M2,EXAMPLE_3
43,497,3.71,466.2906,839,RLUS1353,12,GLU-1,M0,EXAMPLE_11
44,497,3.71,467.295,268,RLUS1353,12,GLU-1,M1,EXAMPLE_11
45,497,3.71,468.3085,649,RLUS1353,12,GLU-1,M0,EXAMPLE_4
46,497,3.71,469.3018,162,RLUS1353,12,GLU-1,M3,EXAMPLE_11
47,498,3.717,432.2384,3088,RLUS1353,12,GLU-1,M0,EXAMPLE_1
49,498,3.717,433.2418,1076,RLUS1353,12,GLU-1,M1,EXAMPLE_1
50,498,3.717,433.2914,208,RLUS1353,12,GLU-1,M1,EXAMPLE_6
56,498,3.717,448.2868,991,RLUS1353,12,GLU-1,M0,EXAMPLE_10
57,498,3.717,449.289,438,RLUS1353,12,GLU-1,M1,EXAMPLE_10
59,498,3.717,450.3002,2853,RLUS1353,12,GLU-1,M0,EXAMPLE_3
60,498,3.717,451.3014,1037,RLUS1353,12,GLU-1,M1,EXAMPLE_3
61,498,3.717,452.3084,327,RLUS1353,12,GLU-1,M2,EXAMPLE_3
67,498,3.717,466.2982,928,RLUS1353,12,GLU-1,M0,EXAMPLE_11
68,498,3.717,467.2988,390,RLUS1353,12,GLU-1,M1,EXAMPLE_11
69,498,3.717,468.3134,618,RLUS1353,12,GLU-1,M0,EXAMPLE_4
71,498,3.717,469.3159,105,RLUS1353,12,GLU-1,M1,EXAMPLE_4
72,499,3.724,432.2378,7871,RLUS1353,12,GLU-1,M0,EXAMPLE_1
73,499,3.724,432.2925,525,RLUS1353,12,GLU-1,M0,EXAMPLE_6
74,499,3.724,433.2384,2210,RLUS1353,12,GLU-1,M1,EXAMPLE_1
75,499,3.724,433.2962,147,RLUS1353,12,GLU-1,M1,EXAMPLE_6
76,499,3.724,434.2454,344,RLUS1353,12,GLU-1,M2,EXAMPLE_1
83,499,3.724,449.2877,190,RLUS1353,12,GLU-1,M1,EXAMPLE_10
85,499,3.724,450.2996,4849,RLUS1353,12,GLU-1,M0,EXAMPLE_3
86,499,3.724,451.3044,1881,RLUS1353,12,GLU-1,M1,EXAMPLE_3
87,499,3.724,452.3058,411,RLUS1353,12,GLU-1,M2,EXAMPLE_3
96,499,3.724,466.2936,979,RLUS1353,12,GLU-1,M0,EXAMPLE_11
98,499,3.724,468.3097,1143,RLUS1353,12,GLU-1,M0,EXAMPLE_4
100,499,3.724,469.3114,449,RLUS1353,12,GLU-1,M1,EXAMPLE_4
101,500,3.731,432.2376,16108,RLUS1353,12,GLU-1,M0,EXAMPLE_1
102,500,3.731,432.2908,1549,RLUS1353,12,GLU-1,M0,EXAMPLE_6
103,500,3.731,433.2426,4514,RLUS1353,12,GLU-1,M1,EXAMPLE_1
104,500,3.731,433.2956,361,RLUS1353,12,GLU-1,M1,EXAMPLE_6
116,500,3.731,448.284,676,RLUS1353,12,GLU-1,M0,EXAMPLE_10
118,500,3.731,450.3002,13455,RLUS1353,12,GLU-1,M0,EXAMPLE_3
119,500,3.731,451.3046,4060,RLUS1353,12,GLU-1,M1,EXAMPLE_3
120,500,3.731,452.3046,1051,RLUS1353,12,GLU-1,M2,EXAMPLE_3
129,500,3.731,466.2938,947,RLUS1353,12,GLU-1,M0,EXAMPLE_11
130,500,3.731,467.297,346,RLUS1353,12,GLU-1,M1,EXAMPLE_11
131,500,3.731,468.3098,4451,RLUS1353,12,GLU-1,M0,EXAMPLE_4
133,500,3.731,469.3124,999,RLUS1353,12,GLU-1,M1,EXAMPLE_4
135,501,3.739,432.2386,22699,RLUS1353,12,GLU-1,M0,EXAMPLE_1
136,501,3.739,432.2904,5582,RLUS1353,12,GLU-1,M0,EXAMPLE_6
137,501,3.739,433.2418,6246,RLUS1353,12,GLU-1,M1,EXAMPLE_1
138,501,3.739,433.293,1615,RLUS1353,12,GLU-1,M1,EXAMPLE_6
139,501,3.739,434.2442,1372,RLUS1353,12,GLU-1,M2,EXAMPLE_1
140,501,3.739,434.2922,428,RLUS1353,12,GLU-1,M2,EXAMPLE_6
142,501,3.739,435.248,183,RLUS1353,12,GLU-1,M3,EXAMPLE_1
154,501,3.739,448.282,927,RLUS1353,12,GLU-1,M0,EXAMPLE_10
156,501,3.739,449.2876,474,RLUS1353,12,GLU-1,M1,EXAMPLE_10
157,501,3.739,450.3,48544,RLUS1353,12,GLU-1,M0,EXAMPLE_3
158,501,3.739,451.3038,16063,RLUS1353,12,GLU-1,M1,EXAMPLE_3
159,501,3.739,452.3074,2921,RLUS1353,12,GLU-1,M2,EXAMPLE_3
160,501,3.739,453.3088,323,RLUS1353,12,GLU-1,M3,EXAMPLE_3
167,501,3.739,466.2952,1410,RLUS1353,12,GLU-1,M0,EXAMPLE_11
168,501,3.739,467.296,497,RLUS1353,12,GLU-1,M1,EXAMPLE_11
169,501,3.739,468.3104,15342,RLUS1353,12,GLU-1,M0,EXAMPLE_4
172,501,3.739,469.3126,4291,RLUS1353,12,GLU-1,M1,EXAMPLE_4
174,502,3.746,432.2389,19285,RLUS1353,12,GLU-1,M0,EXAMPLE_1
175,502,3.746,432.2893,18461,RLUS1353,12,GLU-1,M0,EXAMPLE_6
176,502,3.746,433.2434,5213,RLUS1353,12,GLU-1,M1,EXAMPLE_1
177,502,3.746,433.2913,7341,RLUS1353,12,GLU-1,M1,EXAMPLE_6
180,502,3.746,434.2936,1347,RLUS1353,12,GLU-1,M2,EXAMPLE_6
189,502,3.746,448.2844,2105,RLUS1353,12,GLU-1,M0,EXAMPLE_10
190,502,3.746,449.2891,1149,RLUS1353,12,GLU-1,M1,EXAMPLE_10
192,502,3.746,450.301,136282,RLUS1353,12,GLU-1,M0,EXAMPLE_3
197,502,3.746,451.3038,45247,RLUS1353,12,GLU-1,M1,EXAMPLE_3
198,502,3.746,452.3092,8087,RLUS1353,12,GLU-1,M2,EXAMPLE_3
199,502,3.746,453.3106,1230,RLUS1353,12,GLU-1,M3,EXAMPLE_3
205,502,3.746,466.296,3353,RLUS1353,12,GLU-1,M0,EXAMPLE_11
206,502,3.746,467.301,1418,RLUS1353,12,GLU-1,M1,EXAMPLE_11
207,502,3.746,468.3108,42070,RLUS1353,12,GLU-1,M0,EXAMPLE_4
209,502,3.746,469.3146,12996,RLUS1353,12,GLU-1,M1,EXAMPLE_4
211,503,3.753,432.2374,10361,RLUS1353,12,GLU-1,M0,EXAMPLE_1
212,503,3.753,432.29,32896,RLUS1353,12,GLU-1,M0,EXAMPLE_6
214,503,3.753,433.2401,2792,RLUS1353,12,GLU-1,M1,EXAMPLE_1
215,503,3.753,433.2918,12149,RLUS1353,12,GLU-1,M1,EXAMPLE_6
217,503,3.753,434.2912,2078,RLUS1353,12,GLU-1,M1,EXAMPLE_9
219,503,3.753,435.295,329,RLUS1353,12,GLU-1,M2,EXAMPLE_9
227,503,3.753,448.2832,3158,RLUS1353,12,GLU-1,M0,EXAMPLE_10
229,503,3.753,449.2876,1174,RLUS1353,12,GLU-1,M1,EXAMPLE_10
232,503,3.753,450.3006,252230,RLUS1353,12,GLU-1,M0,EXAMPLE_3
237,503,3.753,451.3036,79895,RLUS1353,12,GLU-1,M1,EXAMPLE_3
239,503,3.753,452.3056,13002,RLUS1353,12,GLU-1,M2,EXAMPLE_3
240,503,3.753,453.311,1866,RLUS1353,12,GLU-1,M3,EXAMPLE_3
248,503,3.753,466.2962,3846,RLUS1353,12,GLU-1,M0,EXAMPLE_11
249,503,3.753,467.2964,1703,RLUS1353,12,GLU-1,M1,EXAMPLE_11
250,503,3.753,468.3108,75283,RLUS1353,12,GLU-1,M0,EXAMPLE_4
251,503,3.753,469.3137,22571,RLUS1353,12,GLU-1,M1,EXAMPLE_4
253,504,3.76,432.2351,5235,RLUS1353,12,GLU-1,M0,EXAMPLE_1
254,504,3.76,432.289,39838,RLUS1353,12,GLU-1,M0,EXAMPLE_6
255,504,3.76,433.2386,1433,RLUS1353,12,GLU-1,M1,EXAMPLE_1
256,504,3.76,433.2906,14802,RLUS1353,12,GLU-1,M1,EXAMPLE_6
258,504,3.76,434.2904,2603,RLUS1353,12,GLU-1,M1,EXAMPLE_9
272,504,3.76,448.2826,3016,RLUS1353,12,GLU-1,M0,EXAMPLE_10
273,504,3.76,449.2892,1051,RLUS1353,12,GLU-1,M1,EXAMPLE_10
275,504,3.76,450.3007,276271,RLUS1353,12,GLU-1,M0,EXAMPLE_3
282,504,3.76,451.3035,84325,RLUS1353,12,GLU-1,M1,EXAMPLE_3
284,504,3.76,452.3062,14589,RLUS1353,12,GLU-1,M2,EXAMPLE_3
285,504,3.76,453.3081,1862,RLUS1353,12,GLU-1,M3,EXAMPLE_3
286,504,3.76,454.317,353,RLUS1353,12,GLU-1,M4,EXAMPLE_3
294,504,3.76,466.2946,4862,RLUS1353,12,GLU-1,M0,EXAMPLE_11
295,504,3.76,467.2992,1441,RLUS1353,12,GLU-1,M1,EXAMPLE_11
296,504,3.76,468.3106,78113,RLUS1353,12,GLU-1,M0,EXAMPLE_4
300,504,3.76,469.3138,25694,RLUS1353,12,GLU-1,M1,EXAMPLE_4
302,505,3.767,432.235,3416,RLUS1353,12,GLU-1,M0,EXAMPLE_1
303,505,3.767,432.2902,26191,RLUS1353,12,GLU-1,M0,EXAMPLE_6
304,505,3.767,433.2382,1002,RLUS1353,12,GLU-1,M1,EXAMPLE_1
305,505,3.767,433.2912,8400,RLUS1353,12,GLU-1,M1,EXAMPLE_6
306,505,3.767,434.2446,259,RLUS1353,12,GLU-1,M2,EXAMPLE_1
307,505,3.767,434.2932,1866,RLUS1353,12,GLU-1,M2,EXAMPLE_6
315,505,3.767,448.2846,1304,RLUS1353,12,GLU-1,M0,EXAMPLE_10
316,505,3.767,449.2873,683,RLUS1353,12,GLU-1,M1,EXAMPLE_10
319,505,3.767,450.3007,179057,RLUS1353,12,GLU-1,M0,EXAMPLE_3
321,505,3.767,451.304,57656,RLUS1353,12,GLU-1,M1,EXAMPLE_3
322,505,3.767,452.3068,10315,RLUS1353,12,GLU-1,M2,EXAMPLE_3
323,505,3.767,453.31,1243,RLUS1353,12,GLU-1,M3,EXAMPLE_3
331,505,3.767,466.2975,2720,RLUS1353,12,GLU-1,M0,EXAMPLE_11
332,505,3.767,467.2988,995,RLUS1353,12,GLU-1,M1,EXAMPLE_11
333,505,3.767,468.3113,57108,RLUS1353,12,GLU-1,M0,EXAMPLE_4
335,505,3.767,469.314,19429,RLUS1353,12,GLU-1,M1,EXAMPLE_4
337,506,3.774,432.2374,3711,RLUS1353,12,GLU-1,M0,EXAMPLE_1
338,506,3.774,432.2892,12317,RLUS1353,12,GLU-1,M0,EXAMPLE_6
339,506,3.774,433.2388,772,RLUS1353,12,GLU-1,M1,EXAMPLE_1
340,506,3.774,433.29,5064,RLUS1353,12,GLU-1,M1,EXAMPLE_6
342,506,3.774,434.2948,677,RLUS1353,12,GLU-1,M2,EXAMPLE_6
344,506,3.774,435.3012,136,RLUS1353,12,GLU-1,M3,EXAMPLE_6
349,506,3.774,448.2842,947,RLUS1353,12,GLU-1,M0,EXAMPLE_10
350,506,3.774,449.2874,356,RLUS1353,12,GLU-1,M1,EXAMPLE_10
351,506,3.774,450.3004,90770,RLUS1353,12,GLU-1,M0,EXAMPLE_3
352,506,3.774,451.304,28152,RLUS1353,12,GLU-1,M1,EXAMPLE_3
353,506,3.774,452.3077,5226,RLUS1353,12,GLU-1,M2,EXAMPLE_3
362,506,3.774,466.2932,1900,RLUS1353,12,GLU-1,M0,EXAMPLE_11
363,506,3.774,467.3,285,RLUS1353,12,GLU-1,M1,EXAMPLE_11
364,506,3.774,468.3114,28995,RLUS1353,12,GLU-1,M0,EXAMPLE_4
366,506,3.774,469.3133,9213,RLUS1353,12,GLU-1,M1,EXAMPLE_4
367,507,3.781,432.2396,3327,RLUS1353,12,GLU-1,M0,EXAMPLE_1
368,507,3.781,432.2902,7566,RLUS1353,12,GLU-1,M0,EXAMPLE_6
369,507,3.781,433.2392,848,RLUS1353,12,GLU-1,M1,EXAMPLE_1
370,507,3.781,433.2893,2390,RLUS1353,12,GLU-1,M1,EXAMPLE_6
372,507,3.781,434.2975,614,RLUS1353,12,GLU-1,M2,EXAMPLE_6
384,507,3.781,448.2876,430,RLUS1353,12,GLU-1,M0,EXAMPLE_10
385,507,3.781,449.2871,254,RLUS1353,12,GLU-1,M1,EXAMPLE_10
386,507,3.781,450.3005,51477,RLUS1353,12,GLU-1,M0,EXAMPLE_3
389,507,3.781,451.3037,16243,RLUS1353,12,GLU-1,M1,EXAMPLE_3
390,507,3.781,452.3044,2885,RLUS1353,12,GLU-1,M2,EXAMPLE_3
396,507,3.781,466.293,988,RLUS1353,12,GLU-1,M0,EXAMPLE_11
397,507,3.781,467.2935,325,RLUS1353,12,GLU-1,M1,EXAMPLE_11
398,507,3.781,468.3097,15405,RLUS1353,12,GLU-1,M0,EXAMPLE_4
400,507,3.781,469.3151,4961,RLUS1353,12,GLU-1,M1,EXAMPLE_4
402,508,3.789,432.2398,2478,RLUS1353,12,GLU-1,M0,EXAMPLE_1
403,508,3.789,432.2893,3793,RLUS1353,12,GLU-1,M0,EXAMPLE_6
404,508,3.789,433.2406,953,RLUS1353,12,GLU-1,M1,EXAMPLE_1
405,508,3.789,433.2941,1591,RLUS1353,12,GLU-1,M1,EXAMPLE_6
406,508,3.789,434.243,166,RLUS1353,12,GLU-1,M2,EXAMPLE_1
407,508,3.789,434.2915,400,RLUS1353,12,GLU-1,M1,EXAMPLE_9
413,508,3.789,448.2816,437,RLUS1353,12,GLU-1,M0,EXAMPLE_10
416,508,3.789,450.3001,29512,RLUS1353,12,GLU-1,M0,EXAMPLE_3
417,508,3.789,451.3032,10859,RLUS1353,12,GLU-1,M1,EXAMPLE_3
418,508,3.789,452.3058,1680,RLUS1353,12,GLU-1,M2,EXAMPLE_3
419,508,3.789,453.3122,134,RLUS1353,12,GLU-1,M3,EXAMPLE_3
425,508,3.789,466.298,1143,RLUS1353,12,GLU-1,M0,EXAMPLE_11
428,508,3.789,467.2954,301,RLUS1353,12,GLU-1,M1,EXAMPLE_11
429,508,3.789,468.3115,9681,RLUS1353,12,GLU-1,M0,EXAMPLE_4
431,508,3.789,469.3152,2599,RLUS1353,12,GLU-1,M1,EXAMPLE_4
434,509,3.796,432.2374,2518,RLUS1353,12,GLU-1,M0,EXAMPLE_1
435,509,3.796,432.2908,2877,RLUS1353,12,GLU-1,M0,EXAMPLE_6
436,509,3.796,433.2422,601,RLUS1353,12,GLU-1,M1,EXAMPLE_1
437,509,3.796,433.2868,684,RLUS1353,12,GLU-1,M0,EXAMPLE_9
439,509,3.796,434.295,147,RLUS1353,12,GLU-1,M2,EXAMPLE_6
448,509,3.796,448.2824,533,RLUS1353,12,GLU-1,M0,EXAMPLE_10
450,509,3.796,450.3003,26974,RLUS1353,12,GLU-1,M0,EXAMPLE_3
451,509,3.796,451.3051,8590,RLUS1353,12,GLU-1,M1,EXAMPLE_3
452,509,3.796,452.3088,1618,RLUS1353,12,GLU-1,M2,EXAMPLE_3
453,509,3.796,453.307,188,RLUS1353,12,GLU-1,M3,EXAMPLE_3
458,509,3.796,466.2953,841,RLUS1353,12,GLU-1,M0,EXAMPLE_11
460,509,3.796,468.3114,8343,RLUS1353,12,GLU-1,M0,EXAMPLE_4
462,509,3.796,469.3137,2874,RLUS1353,12,GLU-1,M1,EXAMPLE_4
463,510,3.803,432.2386,2403,RLUS1353,12,GLU-1,M0,EXAMPLE_1
464,510,3.803,432.2882,2629,RLUS1353,12,GLU-1,M0,EXAMPLE_6
465,510,3.803,433.2414,734,RLUS1353,12,GLU-1,M1,EXAMPLE_1
466,510,3.803,433.291,749,RLUS1353,12,GLU-1,M1,EXAMPLE_6
468,510,3.803,434.2968,206,RLUS1353,12,GLU-1,M2,EXAMPLE_6
471,510,3.803,436.2488,152,RLUS1353,12,GLU-1,M4,EXAMPLE_1
476,510,3.803,448.2802,475,RLUS1353,12,GLU-1,M0,EXAMPLE_10
478,510,3.803,450.2994,25175,RLUS1353,12,GLU-1,M0,EXAMPLE_3
479,510,3.803,451.3036,7222,RLUS1353,12,GLU-1,M1,EXAMPLE_3
480,510,3.803,452.3058,1784,RLUS1353,12,GLU-1,M2,EXAMPLE_3
487,510,3.803,466.2982,1618,RLUS1353,12,GLU-1,M0,EXAMPLE_11
488,510,3.803,467.2958,374,RLUS1353,12,GLU-1,M1,EXAMPLE_11
489,510,3.803,468.31,7759,RLUS1353,12,GLU-1,M0,EXAMPLE_4
491,510,3.803,469.3132,2318,RLUS1353,12,GLU-1,M1,EXAMPLE_4
492,511,3.81,432.242,1824,RLUS1353,12,GLU-1,M0,EXAMPLE_1
493,511,3.81,432.2902,1925,RLUS1353,12,GLU-1,M0,EXAMPLE_6
494,511,3.81,433.2424,377,RLUS1353,12,GLU-1,M1,EXAMPLE_1
495,511,3.81,433.289,865,RLUS1353,12,GLU-1,M1,EXAMPLE_6
503,511,3.81,448.2882,439,RLUS1353,12,GLU-1,M0,EXAMPLE_10
504,511,3.81,449.2866,119,RLUS1353,12,GLU-1,M1,EXAMPLE_10
505,511,3.81,450.2996,20316,RLUS1353,12,GLU-1,M0,EXAMPLE_3
506,511,3.81,451.3034,5507,RLUS1353,12,GLU-1,M1,EXAMPLE_3
507,511,3.81,452.3064,1094,RLUS1353,12,GLU-1,M2,EXAMPLE_3
515,511,3.81,466.2963,1223,RLUS1353,12,GLU-1,M0,EXAMPLE_11
516,511,3.81,467.3016,434,RLUS1353,12,GLU-1,M1,EXAMPLE_11
518,511,3.81,468.3104,5796,RLUS1353,12,GLU-1,M0,EXAMPLE_4
519,511,3.81,469.3154,1897,RLUS1353,12,GLU-1,M1,EXAMPLE_4
521,512,3.817,432.2898,1697,RLUS1353,12,GLU-1,M0,EXAMPLE_6
523,512,3.817,433.2912,782,RLUS1353,12,GLU-1,M1,EXAMPLE_6
534,512,3.817,448.2879,342,RLUS1353,12,GLU-1,M0,EXAMPLE_10
536,512,3.817,449.2891,302,RLUS1353,12,GLU-1,M1,EXAMPLE_10
537,512,3.817,450.2998,18801,RLUS1353,12,GLU-1,M0,EXAMPLE_3
538,512,3.817,451.3042,5390,RLUS1353,12,GLU-1,M1,EXAMPLE_3
539,512,3.817,452.3094,803,RLUS1353,12,GLU-1,M2,EXAMPLE_3
540,512,3.817,453.3101,153,RLUS1353,12,GLU-1,M3,EXAMPLE_3
544,512,3.817,466.2924,1300,RLUS1353,12,GLU-1,M0,EXAMPLE_11
545,512,3.817,467.2956,588,RLUS1353,12,GLU-1,M1,EXAMPLE_11
547,512,3.817,468.3098,4762,RLUS1353,12,GLU-1,M0,EXAMPLE_4
549,512,3.817,469.3118,1461,RLUS1353,12,GLU-1,M1,EXAMPLE_4
552,496,3.702,433.2424,128,RLUS1353,12,GLU-2,M1,EXAMPLE_1
558,496,3.702,448.2827,799,RLUS1353,12,GLU-2,M0,EXAMPLE_10
559,496,3.702,449.2913,285,RLUS1353,12,GLU-2,M1,EXAMPLE_10
560,496,3.702,450.2994,1179,RLUS1353,12,GLU-2,M0,EXAMPLE_3
564,496,3.702,451.3056,282,RLUS1353,12,GLU-2,M1,EXAMPLE_3
565,496,3.702,452.3024,108,RLUS1353,12,GLU-2,M0,EXAMPLE_8
566,496,3.702,466.292,688,RLUS1353,12,GLU-2,M0,EXAMPLE_11
567,496,3.702,467.2938,259,RLUS1353,12,GLU-2,M1,EXAMPLE_11
568,496,3.702,468.3036,286,RLUS1353,12,GLU-2,M2,EXAMPLE_11
569,496,3.702,469.3054,108,RLUS1353,12,GLU-2,M3,EXAMPLE_11
570,497,3.71,432.2361,205,RLUS1353,12,GLU-2,M0,EXAMPLE_1
573,497,3.71,448.2877,964,RLUS1353,12,GLU-2,M0,EXAMPLE_10
576,497,3.71,451.3043,148,RLUS1353,12,GLU-2,M1,EXAMPLE_3
580,497,3.71,466.2965,710,RLUS1353,12,GLU-2,M0,EXAMPLE_11
581,497,3.71,467.294,315,RLUS1353,12,GLU-2,M1,EXAMPLE_11
582,497,3.71,468.3092,497,RLUS1353,12,GLU-2,M0,EXAMPLE_4
584,497,3.71,469.309,112,RLUS1353,12,GLU-2,M3,EXAMPLE_11
586,498,3.717,432.2393,1001,RLUS1353,12,GLU-2,M0,EXAMPLE_1
587,498,3.717,433.2443,142,RLUS1353,12,GLU-2,M1,EXAMPLE_1
591,498,3.717,448.2864,362,RLUS1353,12,GLU-2,M0,EXAMPLE_10
592,498,3.717,449.288,219,RLUS1353,12,GLU-2,M1,EXAMPLE_10
593,498,3.717,450.2988,1579,RLUS1353,12,GLU-2,M0,EXAMPLE_3
599,498,3.717,466.2982,509,RLUS1353,12,GLU-2,M0,EXAMPLE_11
601,498,3.717,468.31,735,RLUS1353,12,GLU-2,M0,EXAMPLE_4
602,498,3.717,469.3131,196,RLUS1353,12,GLU-2,M1,EXAMPLE_4
