scanindex,rettime,mz,intensity,organism,isotope,condition
23,3.698,453.7842,345,RLUS1353,13,ACE-1
496,3.703,435.1743,390,RLUS1353,13,ACE-1
496,3.703,435.2386,108,RLUS1353,13,ACE-1
496,3.703,437.1628,313,RLUS1353,13,ACE-1
496,3.703,438.1834,227,RLUS1353,13,ACE-1
496,3.703,444.376,115,RLUS1353,13,ACE-1
496,3.703,445.312,130,RLUS1353,13,ACE-1
496,3.703,449.3807,113,RLUS1353,13,ACE-1
496,3.703,450.392,113,RLUS1353,13,ACE-1
496,3.703,451.3001,286,RLUS1353,13,ACE-1
496,3.703,452.3096,337,RLUS1353,13,ACE-1
496,3.703,453.1827,205,RLUS1353,13,ACE-1
496,3.703,453.3112,368,RLUS1353,13,ACE-1
496,3.703,454.307,120,RLUS1353,13,ACE-1
496,3.703,455.3176,339,RLUS1353,13,ACE-1
496,3.703,468.2988,313,RLUS1353,13,ACE-1
496,3.703,469.3014,334,RLUS1353,13,ACE-1
497,3.71,435.1678,587,RLUS1353,13,ACE-1
497,3.71,436.185,132,RLUS1353,13,ACE-1
497,3.71,437.1685,337,RLUS1353,13,ACE-1
497,3.71,449.2868,209,RLUS1353,13,ACE-1
497,3.71,449.389,163,RLUS1353,13,ACE-1
497,3.71,450.2856,117,RLUS1353,13,ACE-1
497,3.71,451.298,321,RLUS1353,13,ACE-1
497,3.71,452.3074,411,RLUS1353,13,ACE-1
497,3.71,453.1844,196,RLUS1353,13,ACE-1
497,3.71,453.3036,242,RLUS1353,13,ACE-1
497,3.71,454.317,211,RLUS1353,13,ACE-1
497,3.71,455.3095,148,RLUS1353,13,ACE-1
497,3.71,466.293,117,RLUS1353,13,ACE-1
497,3.71,467.2777,157,RLUS1353,13,ACE-1
497,3.71,468.3026,295,RLUS1353,13,ACE-1
497,3.71,469.303,445,RLUS1353,13,ACE-1
498,3.717,435.1663,530,RLUS1353,13,ACE-1
498,3.717,436.1696,218,RLUS1353,13,ACE-1
498,3.717,437.1677,385,RLUS1353,13,ACE-1
498,3.717,444.2992,103,RLUS1353,13,ACE-1
498,3.717,449.3847,146,RLUS1353,13,ACE-1
498,3.717,450.293,148,RLUS1353,13,ACE-1
498,3.717,451.3028,190,RLUS1353,13,ACE-1
498,3.717,452.3028,554,RLUS1353,13,ACE-1
498,3.717,453.1829,160,RLUS1353,13,ACE-1
498,3.717,453.3046,595,RLUS1353,13,ACE-1
498,3.717,454.3152,428,RLUS1353,13,ACE-1
498,3.717,455.3182,136,RLUS1353,13,ACE-1
498,3.717,466.2828,138,RLUS1353,13,ACE-1
498,3.717,467.2868,113,RLUS1353,13,ACE-1
498,3.717,468.2696,108,RLUS1353,13,ACE-1
498,3.717,469.3024,294,RLUS1353,13,ACE-1
498,3.717,470.3042,128,RLUS1353,13,ACE-1
499,3.724,432.2464,145,RLUS1353,13,ACE-1
499,3.724,433.2896,129,RLUS1353,13,ACE-1
499,3.724,435.17,607,RLUS1353,13,ACE-1
499,3.724,435.2948,178,RLUS1353,13,ACE-1
499,3.724,437.1607,419,RLUS1353,13,ACE-1
499,3.724,440.3342,147,RLUS1353,13,ACE-1
499,3.724,450.296,335,RLUS1353,13,ACE-1
499,3.724,451.2969,226,RLUS1353,13,ACE-1
499,3.724,452.3047,804,RLUS1353,13,ACE-1
499,3.724,453.3115,770,RLUS1353,13,ACE-1
499,3.724,454.3154,347,RLUS1353,13,ACE-1
499,3.724,455.3203,527,RLUS1353,13,ACE-1
499,3.724,456.318,113,RLUS1353,13,ACE-1
499,3.724,457.3276,123,RLUS1353,13,ACE-1
499,3.724,466.287,107,RLUS1353,13,ACE-1
499,3.724,468.3007,323,RLUS1353,13,ACE-1
499,3.724,469.3098,276,RLUS1353,13,ACE-1
500,3.732,432.2392,136,RLUS1353,13,ACE-1
500,3.732,432.2918,104,RLUS1353,13,ACE-1
500,3.732,433.2472,154,RLUS1353,13,ACE-1
500,3.732,434.2936,103,RLUS1353,13,ACE-1
500,3.732,435.1729,1050,RLUS1353,13,ACE-1
500,3.732,435.2998,134,RLUS1353,13,ACE-1
500,3.732,437.1719,103,RLUS1353,13,ACE-1
500,3.732,439.1522,139,RLUS1353,13,ACE-1
500,3.732,449.3877,111,RLUS1353,13,ACE-1
500,3.732,450.2991,472,RLUS1353,13,ACE-1
500,3.732,451.3032,754,RLUS1353,13,ACE-1
500,3.732,452.3064,1087,RLUS1353,13,ACE-1
500,3.732,453.3118,1169,RLUS1353,13,ACE-1
500,3.732,454.3168,1040,RLUS1353,13,ACE-1
500,3.732,455.3206,916,RLUS1353,13,ACE-1
500,3.732,456.3248,377,RLUS1353,13,ACE-1
500,3.732,458.2804,149,RLUS1353,13,ACE-1
500,3.732,459.281,158,RLUS1353,13,ACE-1
500,3.732,460.2342,125,RLUS1353,13,ACE-1
500,3.732,467.2888,114,RLUS1353,13,ACE-1
500,3.732,468.3122,201,RLUS1353,13,ACE-1
500,3.732,469.3184,363,RLUS1353,13,ACE-1
501,3.739,432.2384,402,RLUS1353,13,ACE-1
501,3.739,432.2828,164,RLUS1353,13,ACE-1
501,3.739,434.2967,645,RLUS1353,13,ACE-1
501,3.739,435.1626,492,RLUS1353,13,ACE-1
501,3.739,435.2983,476,RLUS1353,13,ACE-1
501,3.739,436.0822,112,RLUS1353,13,ACE-1
501,3.739,436.3043,374,RLUS1353,13,ACE-1
501,3.739,437.166,198,RLUS1353,13,ACE-1
501,3.739,437.3097,315,RLUS1353,13,ACE-1
501,3.739,438.3102,175,RLUS1353,13,ACE-1
501,3.739,450.2976,1222,RLUS1353,13,ACE-1
501,3.739,451.3048,3824,RLUS1353,13,ACE-1
501,3.739,452.3083,4816,RLUS1353,13,ACE-1
501,3.739,453.3098,5525,RLUS1353,13,ACE-1
501,3.739,454.316,3846,RLUS1353,13,ACE-1
501,3.739,455.1296,100,RLUS1353,13,ACE-1
501,3.739,455.3195,3165,RLUS1353,13,ACE-1
501,3.739,456.3206,1431,RLUS1353,13,ACE-1
501,3.739,457.271,124,RLUS1353,13,ACE-1
501,3.739,457.3226,294,RLUS1353,13,ACE-1
501,3.739,458.2822,238,RLUS1353,13,ACE-1
501,3.739,458.3285,148,RLUS1353,13,ACE-1
501,3.739,467.284,138,RLUS1353,13,ACE-1
501,3.739,468.3044,541,RLUS1353,13,ACE-1
501,3.739,469.3131,1637,RLUS1353,13,ACE-1
502,3.746,432.2366,486,RLUS1353,13,ACE-1
502,3.746,432.2942,436,RLUS1353,13,ACE-1
502,3.746,433.2934,1225,RLUS1353,13,ACE-1
502,3.746,434.2984,1437,RLUS1353,13,ACE-1
502,3.746,435.1677,521,RLUS1353,13,ACE-1
502,3.746,435.299,1631,RLUS1353,13,ACE-1
502,3.746,436.1714,200,RLUS1353,13,ACE-1
502,3.746,436.238,108,RLUS1353,13,ACE-1
502,3.746,436.3032,1324,RLUS1353,13,ACE-1
502,3.746,437.1678,314,RLUS1353,13,ACE-1
502,3.746,437.3076,737,RLUS1353,13,ACE-1
502,3.746,438.1594,181,RLUS1353,13,ACE-1
502,3.746,438.2582,136,RLUS1353,13,ACE-1
502,3.746,438.3018,424,RLUS1353,13,ACE-1
502,3.746,439.3136,137,RLUS1353,13,ACE-1
502,3.746,450.2978,4460,RLUS1353,13,ACE-1
502,3.746,451.3052,9745,RLUS1353,13,ACE-1
502,3.746,452.3076,15532,RLUS1353,13,ACE-1
502,3.746,453.1744,115,RLUS1353,13,ACE-1
502,3.746,453.311,15148,RLUS1353,13,ACE-1
502,3.746,454.3139,12263,RLUS1353,13,ACE-1
502,3.746,455.3187,8938,RLUS1353,13,ACE-1
502,3.746,456.3209,3838,RLUS1353,13,ACE-1
502,3.746,456.5924,131,RLUS1353,13,ACE-1
502,3.746,457.3252,1878,RLUS1353,13,ACE-1
502,3.746,458.2751,274,RLUS1353,13,ACE-1
502,3.746,458.3278,470,RLUS1353,13,ACE-1
502,3.746,459.27,146,RLUS1353,13,ACE-1
502,3.746,466.2848,124,RLUS1353,13,ACE-1
502,3.746,467.2961,326,RLUS1353,13,ACE-1
502,3.746,468.3094,1998,RLUS1353,13,ACE-1
502,3.746,469.1528,118,RLUS1353,13,ACE-1
502,3.746,469.3141,4081,RLUS1353,13,ACE-1
503,3.753,432.2388,389,RLUS1353,13,ACE-1
503,3.753,432.2906,630,RLUS1353,13,ACE-1
503,3.753,433.2448,205,RLUS1353,13,ACE-1
503,3.753,433.2943,2421,RLUS1353,13,ACE-1
503,3.753,434.2981,3177,RLUS1353,13,ACE-1
503,3.753,435.1697,767,RLUS1353,13,ACE-1
503,3.753,435.2996,3660,RLUS1353,13,ACE-1
503,3.753,436.176,292,RLUS1353,13,ACE-1
503,3.753,436.3038,2462,RLUS1353,13,ACE-1
503,3.753,436.9586,166,RLUS1353,13,ACE-1
503,3.753,437.1667,406,RLUS1353,13,ACE-1
503,3.753,437.305,1909,RLUS1353,13,ACE-1
503,3.753,438.1704,178,RLUS1353,13,ACE-1
503,3.753,438.3064,683,RLUS1353,13,ACE-1
503,3.753,439.317,480,RLUS1353,13,ACE-1
503,3.753,440.32,211,RLUS1353,13,ACE-1
503,3.753,448.2165,112,RLUS1353,13,ACE-1
503,3.753,448.2758,101,RLUS1353,13,ACE-1
503,3.753,449.2914,166,RLUS1353,13,ACE-1
503,3.753,450.299,6238,RLUS1353,13,ACE-1
503,3.753,451.3036,17222,RLUS1353,13,ACE-1
503,3.753,452.308,24064,RLUS1353,13,ACE-1
503,3.753,453.1682,101,RLUS1353,13,ACE-1
503,3.753,453.3114,25177,RLUS1353,13,ACE-1
503,3.753,454.3141,20934,RLUS1353,13,ACE-1
503,3.753,455.3178,14337,RLUS1353,13,ACE-1
503,3.753,456.322,7161,RLUS1353,13,ACE-1
503,3.753,457.3272,3446,RLUS1353,13,ACE-1
503,3.753,458.3296,1452,RLUS1353,13,ACE-1
503,3.753,459.3331,242,RLUS1353,13,ACE-1
503,3.753,460.2313,191,RLUS1353,13,ACE-1
503,3.753,466.2864,236,RLUS1353,13,ACE-1
503,3.753,467.2904,297,RLUS1353,13,ACE-1
503,3.753,468.3076,2433,RLUS1353,13,ACE-1
503,3.753,469.3145,5256,RLUS1353,13,ACE-1
504,3.76,432.24,336,RLUS1353,13,ACE-1
504,3.76,432.2859,572,RLUS1353,13,ACE-1
504,3.76,433.2934,1596,RLUS1353,13,ACE-1
504,3.76,434.2954,1990,RLUS1353,13,ACE-1
504,3.76,435.1685,802,RLUS1353,13,ACE-1
504,3.76,435.2986,1798,RLUS1353,13,ACE-1
504,3.76,436.1644,179,RLUS1353,13,ACE-1
504,3.76,436.3035,2338,RLUS1353,13,ACE-1
504,3.76,437.0208,100,RLUS1353,13,ACE-1
504,3.76,437.166,470,RLUS1353,13,ACE-1
504,3.76,437.3056,1155,RLUS1353,13,ACE-1
504,3.76,438.157,159,RLUS1353,13,ACE-1
504,3.76,438.3101,664,RLUS1353,13,ACE-1
504,3.76,439.1722,228,RLUS1353,13,ACE-1
504,3.76,439.3083,209,RLUS1353,13,ACE-1
504,3.76,440.3146,230,RLUS1353,13,ACE-1
504,3.76,443.019,104,RLUS1353,13,ACE-1
504,3.76,450.3012,5522,RLUS1353,13,ACE-1
504,3.76,451.3038,14271,RLUS1353,13,ACE-1
504,3.76,452.3078,22254,RLUS1353,13,ACE-1
504,3.76,453.3113,22870,RLUS1353,13,ACE-1
504,3.76,454.3134,17002,RLUS1353,13,ACE-1
