scanindex,rettime,mz,intensity,organism,isotope,condition
23,3.699,453.7881,112,RLUS1353,15,GLU-1
496,3.704,434.7151,100,RLUS1353,15,GLU-1
496,3.704,435.1679,896,RLUS1353,15,GLU-1
496,3.704,436.1684,111,RLUS1353,15,GLU-1
496,3.704,436.851,119,RLUS1353,15,GLU-1
496,3.704,436.9574,121,RLUS1353,15,GLU-1
496,3.704,437.163,302,RLUS1353,15,GLU-1
496,3.704,440.3518,149,RLUS1353,15,GLU-1
496,3.704,448.2796,174,RLUS1353,15,GLU-1
496,3.704,451.295,132,RLUS1353,15,GLU-1
496,3.704,465.2758,168,RLUS1353,15,GLU-1
496,3.704,466.2938,440,RLUS1353,15,GLU-1
496,3.704,467.2911,387,RLUS1353,15,GLU-1
496,3.704,468.2942,168,RLUS1353,15,GLU-1
497,3.711,432.275,108,RLUS1353,15,GLU-1
497,3.711,433.2852,100,RLUS1353,15,GLU-1
497,3.711,435.1698,610,RLUS1353,15,GLU-1
497,3.711,436.172,124,RLUS1353,15,GLU-1
497,3.711,437.1616,244,RLUS1353,15,GLU-1
497,3.711,448.3026,127,RLUS1353,15,GLU-1
497,3.711,449.2848,226,RLUS1353,15,GLU-1
497,3.711,449.3849,102,RLUS1353,15,GLU-1
497,3.711,450.2979,233,RLUS1353,15,GLU-1
497,3.711,451.301,190,RLUS1353,15,GLU-1
497,3.711,464.2914,101,RLUS1353,15,GLU-1
497,3.711,466.2975,320,RLUS1353,15,GLU-1
497,3.711,467.2916,319,RLUS1353,15,GLU-1
498,3.719,432.234,157,RLUS1353,15,GLU-1
498,3.719,435.167,778,RLUS1353,15,GLU-1
498,3.719,436.1714,302,RLUS1353,15,GLU-1
498,3.719,437.1653,373,RLUS1353,15,GLU-1
498,3.719,438.1672,139,RLUS1353,15,GLU-1
498,3.719,448.1385,110,RLUS1353,15,GLU-1
498,3.719,448.2789,221,RLUS1353,15,GLU-1
498,3.719,450.2952,177,RLUS1353,15,GLU-1
498,3.719,451.301,236,RLUS1353,15,GLU-1
498,3.719,456.2584,119,RLUS1353,15,GLU-1
498,3.719,466.298,226,RLUS1353,15,GLU-1
498,3.719,467.2944,343,RLUS1353,15,GLU-1
498,3.719,468.3029,325,RLUS1353,15,GLU-1
498,3.719,470.1228,189,RLUS1353,15,GLU-1
499,3.726,431.2734,165,RLUS1353,15,GLU-1
499,3.726,432.2381,118,RLUS1353,15,GLU-1
499,3.726,433.2934,171,RLUS1353,15,GLU-1
499,3.726,435.1672,686,RLUS1353,15,GLU-1
499,3.726,436.1774,201,RLUS1353,15,GLU-1
499,3.726,437.1714,200,RLUS1353,15,GLU-1
499,3.726,450.297,375,RLUS1353,15,GLU-1
499,3.726,451.298,502,RLUS1353,15,GLU-1
499,3.726,452.2998,110,RLUS1353,15,GLU-1
499,3.726,465.2778,182,RLUS1353,15,GLU-1
499,3.726,466.2994,147,RLUS1353,15,GLU-1
499,3.726,467.2957,438,RLUS1353,15,GLU-1
499,3.726,467.9278,107,RLUS1353,15,GLU-1
499,3.726,468.3082,273,RLUS1353,15,GLU-1
499,3.726,469.312,189,RLUS1353,15,GLU-1
500,3.733,432.2364,280,RLUS1353,15,GLU-1
500,3.733,433.2856,486,RLUS1353,15,GLU-1
500,3.733,434.2776,111,RLUS1353,15,GLU-1
500,3.733,435.1685,889,RLUS1353,15,GLU-1
500,3.733,436.1688,161,RLUS1353,15,GLU-1
500,3.733,437.1654,488,RLUS1353,15,GLU-1
500,3.733,449.2885,108,RLUS1353,15,GLU-1
500,3.733,450.3002,2516,RLUS1353,15,GLU-1
500,3.733,451.3016,3608,RLUS1353,15,GLU-1
500,3.733,452.205,182,RLUS1353,15,GLU-1
500,3.733,452.3043,888,RLUS1353,15,GLU-1
500,3.733,453.3042,125,RLUS1353,15,GLU-1
500,3.733,456.2714,169,RLUS1353,15,GLU-1
500,3.733,457.2802,213,RLUS1353,15,GLU-1
500,3.733,460.2382,132,RLUS1353,15,GLU-1
500,3.733,461.2344,106,RLUS1353,15,GLU-1
500,3.733,466.293,375,RLUS1353,15,GLU-1
500,3.733,467.2941,158,RLUS1353,15,GLU-1
500,3.733,468.3132,1056,RLUS1353,15,GLU-1
