scanindex,rettime,mz,intensity,organism,isotope,condition
23,3.698,453.7766,131,RLUS1353,12,ACE-1
23,3.698,467.313,128,RLUS1353,12,ACE-1
496,3.703,431.125,644,RLUS1353,12,ACE-1
496,3.703,432.242,314,RLUS1353,12,ACE-1
496,3.703,432.2914,138,RLUS1353,12,ACE-1
496,3.703,433.2537,222,RLUS1353,12,ACE-1
496,3.703,435.1693,541,RLUS1353,12,ACE-1
496,3.703,437.1594,160,RLUS1353,12,ACE-1
496,3.703,441.3072,101,RLUS1353,12,ACE-1
496,3.703,442.2818,101,RLUS1353,12,ACE-1
496,3.703,447.7634,153,RLUS1353,12,ACE-1
496,3.703,448.277,378,RLUS1353,12,ACE-1
496,3.703,448.3072,121,RLUS1353,12,ACE-1
496,3.703,448.7366,195,RLUS1353,12,ACE-1
496,3.703,449.3803,193,RLUS1353,12,ACE-1
496,3.703,450.296,652,RLUS1353,12,ACE-1
496,3.703,450.7438,113,RLUS1353,12,ACE-1
496,3.703,451.03,111,RLUS1353,12,ACE-1
496,3.703,451.3055,188,RLUS1353,12,ACE-1
496,3.703,452.7264,188,RLUS1353,12,ACE-1
496,3.703,453.1761,1058,RLUS1353,12,ACE-1
496,3.703,454.1766,221,RLUS1353,12,ACE-1
496,3.703,454.2062,151,RLUS1353,12,ACE-1
496,3.703,462.248,122,RLUS1353,12,ACE-1
496,3.703,464.2816,314,RLUS1353,12,ACE-1
496,3.703,466.2886,414,RLUS1353,12,ACE-1
496,3.703,467.29,148,RLUS1353,12,ACE-1
496,3.703,469.121,148,RLUS1353,12,ACE-1
496,3.703,470.2076,275,RLUS1353,12,ACE-1
497,3.71,431.1274,471,RLUS1353,12,ACE-1
497,3.71,432.1298,186,RLUS1353,12,ACE-1
497,3.71,432.2372,1017,RLUS1353,12,ACE-1
497,3.71,433.2318,375,RLUS1353,12,ACE-1
497,3.71,435.1628,494,RLUS1353,12,ACE-1
497,3.71,437.1682,371,RLUS1353,12,ACE-1
497,3.71,438.1742,137,RLUS1353,12,ACE-1
497,3.71,442.2996,119,RLUS1353,12,ACE-1
497,3.71,448.2846,193,RLUS1353,12,ACE-1
497,3.71,448.7396,110,RLUS1353,12,ACE-1
497,3.71,450.3042,370,RLUS1353,12,ACE-1
497,3.71,451.2994,205,RLUS1353,12,ACE-1
