row ID,row m/z,row retention time,20180409_RLUS135314GLUD0-1_seen.mzml Peak RT start,20180409_RLUS135314GLUD0-1_seen.mzml Peak RT end,20180409_RLUS135314GLUD0-1_seen.mzml Peak area,
1,432.2384033203125,3.739,3.71,3.753,34874.25000000008,
2,432.28990173339844,3.76,3.731,3.817,66273.14999999986,
3,433.29058837890625,3.76,3.746,3.781,21133.01999999995,
4,448.283203125,3.753,3.731,3.774,5143.949999999993,
5,449.28759765625,3.753,3.717,3.781,2444.8199999999983,
6,450.3002014160156,3.76,3.703,3.817,495971.42999999906,
7,451.3037567138672,3.76,3.717,3.817,156578.18999999977,
8,452.30621337890625,3.76,3.71,3.789,22343.489999999936,
9,466.2945861816406,3.76,3.724,3.796,8133.269999999982,
10,468.31060791015625,3.76,3.724,3.817,149131.76999999981,
11,469.3138122558594,3.76,3.731,3.789,42995.96999999993,
